flightNumber,departureAirportFsCode,arrivalAirportFsCode,departureTime,arrivalTime,stops,departureTerminal,arrivalTerminal
6651,MAD,BCN,2023-04-24T07:30:00.000,2023-04-24T08:55:00.000,0,2,1
6768,MAD,BCN,2023-04-24T07:30:00.000,2023-04-24T08:55:00.000,0,2,1
7322,MAD,BCN,2023-04-24T07:30:00.000,2023-04-24T08:55:00.000,0,2,1
1005,MAD,BCN,2023-04-24T13:40:00.000,2023-04-24T15:00:00.000,0,4,1
5003,MAD,BCN,2023-04-24T13:40:00.000,2023-04-24T15:00:00.000,0,4,1
3502,MAD,BCN,2023-04-24T13:40:00.000,2023-04-24T15:00:00.000,0,4,1
3006,MAD,BCN,2023-04-24T08:00:00.000,2023-04-24T09:20:00.000,0,4,1
5089,MAD,BCN,2023-04-24T08:00:00.000,2023-04-24T09:20:00.000,0,4,1
8772,MAD,BCN,2023-04-24T08:00:00.000,2023-04-24T09:20:00.000,0,4,1
5023,MAD,BCN,2023-04-24T08:00:00.000,2023-04-24T09:20:00.000,0,4,1
1520,MAD,BCN,2023-04-24T08:00:00.000,2023-04-24T09:20:00.000,0,4,1
7703,MAD,BCN,2023-04-24T15:10:00.000,2023-04-24T16:35:00.000,0,2,1
6653,MAD,BCN,2023-04-24T15:10:00.000,2023-04-24T16:35:00.000,0,2,1
9459,MAD,BCN,2023-04-24T15:10:00.000,2023-04-24T16:35:00.000,0,2,1
6184,MAD,BCN,2023-04-24T15:10:00.000,2023-04-24T16:35:00.000,0,2,1
6771,MAD,BCN,2023-04-24T15:10:00.000,2023-04-24T16:35:00.000,0,2,1
6808,MAD,BCN,2023-04-24T15:10:00.000,2023-04-24T16:35:00.000,0,2,1
4366,MAD,BCN,2023-04-24T15:10:00.000,2023-04-24T16:35:00.000,0,2,1
2703,MAD,BCN,2023-04-24T15:10:00.000,2023-04-24T16:35:00.000,0,2,1
1003,MAD,BCN,2023-04-24T09:30:00.000,2023-04-24T10:50:00.000,0,4,1
5869,MAD,BCN,2023-04-24T09:30:00.000,2023-04-24T10:50:00.000,0,4,1
5001,MAD,BCN,2023-04-24T09:30:00.000,2023-04-24T10:50:00.000,0,4,1
3608,MAD,BCN,2023-04-24T09:30:00.000,2023-04-24T10:50:00.000,0,4,1
1009,MAD,BCN,2023-04-24T22:30:00.000,2023-04-24T23:50:00.000,0,4,1
5007,MAD,BCN,2023-04-24T22:30:00.000,2023-04-24T23:50:00.000,0,4,1
3506,MAD,BCN,2023-04-24T22:30:00.000,2023-04-24T23:50:00.000,0,4,1
3008,MAD,BCN,2023-04-24T08:30:00.000,2023-04-24T09:50:00.000,0,4,1
6082,MAD,BCN,2023-04-24T08:30:00.000,2023-04-24T09:50:00.000,0,4,1
5090,MAD,BCN,2023-04-24T08:30:00.000,2023-04-24T09:50:00.000,0,4,1
8775,MAD,BCN,2023-04-24T08:30:00.000,2023-04-24T09:50:00.000,0,4,1
1521,MAD,BCN,2023-04-24T08:30:00.000,2023-04-24T09:50:00.000,0,4,1
5024,MAD,BCN,2023-04-24T08:30:00.000,2023-04-24T09:50:00.000,0,4,1
3004,MAD,BCN,2023-04-24T07:30:00.000,2023-04-24T08:50:00.000,0,4,1
6028,MAD,BCN,2023-04-24T07:30:00.000,2023-04-24T08:50:00.000,0,4,1
5573,MAD,BCN,2023-04-24T07:30:00.000,2023-04-24T08:50:00.000,0,4,1
5010,MAD,BCN,2023-04-24T07:30:00.000,2023-04-24T08:50:00.000,0,4,1
1519,MAD,BCN,2023-04-24T07:30:00.000,2023-04-24T08:50:00.000,0,4,1
8726,MAD,BCN,2023-04-24T07:30:00.000,2023-04-24T08:50:00.000,0,4,1
3022,MAD,BCN,2023-04-24T17:30:00.000,2023-04-24T18:50:00.000,0,4,1
6018,MAD,BCN,2023-04-24T17:30:00.000,2023-04-24T18:50:00.000,0,4,1
6895,MAD,BCN,2023-04-24T17:30:00.000,2023-04-24T18:50:00.000,0,4,1
1525,MAD,BCN,2023-04-24T17:30:00.000,2023-04-24T18:50:00.000,0,4,1
5061,MAD,BCN,2023-04-24T17:30:00.000,2023-04-24T18:50:00.000,0,4,1
5008,MAD,BCN,2023-04-24T17:30:00.000,2023-04-24T18:50:00.000,0,4,1
3016,MAD,BCN,2023-04-24T14:50:00.000,2023-04-24T16:10:00.000,0,4,1
6889,MAD,BCN,2023-04-24T14:50:00.000,2023-04-24T16:10:00.000,0,4,1
8630,MAD,BCN,2023-04-24T14:50:00.000,2023-04-24T16:10:00.000,0,4,1
5057,MAD,BCN,2023-04-24T14:50:00.000,2023-04-24T16:10:00.000,0,4,1
1522,MAD,BCN,2023-04-24T14:50:00.000,2023-04-24T16:10:00.000,0,4,1
6016,MAD,BCN,2023-04-24T14:50:00.000,2023-04-24T16:10:00.000,0,4,1
3020,MAD,BCN,2023-04-24T16:30:00.000,2023-04-24T17:50:00.000,0,4,1
5332,MAD,BCN,2023-04-24T16:30:00.000,2023-04-24T17:50:00.000,0,4,1
5059,MAD,BCN,2023-04-24T16:30:00.000,2023-04-24T17:50:00.000,0,4,1
1524,MAD,BCN,2023-04-24T16:30:00.000,2023-04-24T17:50:00.000,0,4,1
3010,MAD,BCN,2023-04-24T10:35:00.000,2023-04-24T11:55:00.000,0,4,1
8781,MAD,BCN,2023-04-24T10:35:00.000,2023-04-24T11:55:00.000,0,4,1
5116,MAD,BCN,2023-04-24T10:35:00.000,2023-04-24T11:55:00.000,0,4,1
1624,MAD,BCN,2023-04-24T10:35:00.000,2023-04-24T11:55:00.000,0,4,1
6078,MAD,BCN,2023-04-24T10:35:00.000,2023-04-24T11:55:00.000,0,4,1
7246,MAD,BCN,2023-04-24T10:35:00.000,2023-04-24T11:55:00.000,0,4,1
3012,MAD,BCN,2023-04-24T11:30:00.000,2023-04-24T12:50:00.000,0,4,1
6089,MAD,BCN,2023-04-24T11:30:00.000,2023-04-24T12:50:00.000,0,4,1
5095,MAD,BCN,2023-04-24T11:30:00.000,2023-04-24T12:50:00.000,0,4,1
5031,MAD,BCN,2023-04-24T11:30:00.000,2023-04-24T12:50:00.000,0,4,1
8613,MAD,BCN,2023-04-24T11:30:00.000,2023-04-24T12:50:00.000,0,4,1
3034,MAD,BCN,2023-04-24T21:35:00.000,2023-04-24T22:55:00.000,0,4,1
5575,MAD,BCN,2023-04-24T21:35:00.000,2023-04-24T22:55:00.000,0,4,1
6927,MAD,BCN,2023-04-24T21:35:00.000,2023-04-24T22:55:00.000,0,4,1
9403,MAD,BCN,2023-04-24T21:35:00.000,2023-04-24T22:55:00.000,0,4,1
5091,MAD,BCN,2023-04-24T21:35:00.000,2023-04-24T22:55:00.000,0,4,1
1530,MAD,BCN,2023-04-24T21:35:00.000,2023-04-24T22:55:00.000,0,4,1
1007,MAD,BCN,2023-04-24T18:20:00.000,2023-04-24T19:40:00.000,0,4,1
3546,MAD,BCN,2023-04-24T18:20:00.000,2023-04-24T19:40:00.000,0,4,1
5005,MAD,BCN,2023-04-24T18:20:00.000,2023-04-24T19:40:00.000,0,4,1
3026,MAD,BCN,2023-04-24T19:00:00.000,2023-04-24T20:20:00.000,0,4,1
6072,MAD,BCN,2023-04-24T19:00:00.000,2023-04-24T20:20:00.000,0,4,1
6918,MAD,BCN,2023-04-24T19:00:00.000,2023-04-24T20:20:00.000,0,4,1
5063,MAD,BCN,2023-04-24T19:00:00.000,2023-04-24T20:20:00.000,0,4,1
1526,MAD,BCN,2023-04-24T19:00:00.000,2023-04-24T20:20:00.000,0,4,1
3014,MAD,BCN,2023-04-24T12:25:00.000,2023-04-24T13:45:00.000,0,4,1
6146,MAD,BCN,2023-04-24T12:25:00.000,2023-04-24T13:45:00.000,0,4,1
5050,MAD,BCN,2023-04-24T12:25:00.000,2023-04-24T13:45:00.000,0,4,1
3018,MAD,BCN,2023-04-24T16:00:00.000,2023-04-24T17:20:00.000,0,4,1
5058,MAD,BCN,2023-04-24T16:00:00.000,2023-04-24T17:20:00.000,0,4,1
5004,MAD,BCN,2023-04-24T16:00:00.000,2023-04-24T17:20:00.000,0,4,1
5331,MAD,BCN,2023-04-24T16:00:00.000,2023-04-24T17:20:00.000,0,4,1
1523,MAD,BCN,2023-04-24T16:00:00.000,2023-04-24T17:20:00.000,0,4,1
6076,MAD,BCN,2023-04-24T16:00:00.000,2023-04-24T17:20:00.000,0,4,1
6894,MAD,BCN,2023-04-24T16:00:00.000,2023-04-24T17:20:00.000,0,4,1
3030,MAD,BCN,2023-04-24T20:00:00.000,2023-04-24T21:20:00.000,0,4,1
5338,MAD,BCN,2023-04-24T20:00:00.000,2023-04-24T21:20:00.000,0,4,1
6083,MAD,BCN,2023-04-24T20:00:00.000,2023-04-24T21:20:00.000,0,4,1
6924,MAD,BCN,2023-04-24T20:00:00.000,2023-04-24T21:20:00.000,0,4,1
9402,MAD,BCN,2023-04-24T20:00:00.000,2023-04-24T21:20:00.000,0,4,1
5079,MAD,BCN,2023-04-24T20:00:00.000,2023-04-24T21:20:00.000,0,4,1
1528,MAD,BCN,2023-04-24T20:00:00.000,2023-04-24T21:20:00.000,0,4,1
3002,MAD,BCN,2023-04-25T07:00:00.000,2023-04-25T08:20:00.000,0,4,1
6029,MAD,BCN,2023-04-25T07:00:00.000,2023-04-25T08:20:00.000,0,4,1
5571,MAD,BCN,2023-04-25T07:00:00.000,2023-04-25T08:20:00.000,0,4,1
1518,MAD,BCN,2023-04-25T07:00:00.000,2023-04-25T08:20:00.000,0,4,1
5006,MAD,BCN,2023-04-25T07:00:00.000,2023-04-25T08:20:00.000,0,4,1
3010,MAD,BCN,2023-04-25T10:35:00.000,2023-04-25T11:55:00.000,0,4,1
6078,MAD,BCN,2023-04-25T10:35:00.000,2023-04-25T11:55:00.000,0,4,1
7246,MAD,BCN,2023-04-25T10:35:00.000,2023-04-25T11:55:00.000,0,4,1
8781,MAD,BCN,2023-04-25T10:35:00.000,2023-04-25T11:55:00.000,0,4,1
5116,MAD,BCN,2023-04-25T10:35:00.000,2023-04-25T11:55:00.000,0,4,1
1624,MAD,BCN,2023-04-25T10:35:00.000,2023-04-25T11:55:00.000,0,4,1
7701,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:55:00.000,0,2,1
6896,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:55:00.000,0,2,1
4302,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:55:00.000,0,2,1
7444,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:55:00.000,0,2,1
6651,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:55:00.000,0,2,1
6768,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:55:00.000,0,2,1
7322,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:55:00.000,0,2,1
1005,MAD,BCN,2023-04-25T13:40:00.000,2023-04-25T15:00:00.000,0,4,1
5003,MAD,BCN,2023-04-25T13:40:00.000,2023-04-25T15:00:00.000,0,4,1
3502,MAD,BCN,2023-04-25T13:40:00.000,2023-04-25T15:00:00.000,0,4,1
3018,MAD,BCN,2023-04-25T16:00:00.000,2023-04-25T17:20:00.000,0,4,1
5331,MAD,BCN,2023-04-25T16:00:00.000,2023-04-25T17:20:00.000,0,4,1
6076,MAD,BCN,2023-04-25T16:00:00.000,2023-04-25T17:20:00.000,0,4,1
6894,MAD,BCN,2023-04-25T16:00:00.000,2023-04-25T17:20:00.000,0,4,1
5058,MAD,BCN,2023-04-25T16:00:00.000,2023-04-25T17:20:00.000,0,4,1
5004,MAD,BCN,2023-04-25T16:00:00.000,2023-04-25T17:20:00.000,0,4,1
1523,MAD,BCN,2023-04-25T16:00:00.000,2023-04-25T17:20:00.000,0,4,1
3022,MAD,BCN,2023-04-25T17:30:00.000,2023-04-25T18:50:00.000,0,4,1
6018,MAD,BCN,2023-04-25T17:30:00.000,2023-04-25T18:50:00.000,0,4,1
6895,MAD,BCN,2023-04-25T17:30:00.000,2023-04-25T18:50:00.000,0,4,1
1525,MAD,BCN,2023-04-25T17:30:00.000,2023-04-25T18:50:00.000,0,4,1
5061,MAD,BCN,2023-04-25T17:30:00.000,2023-04-25T18:50:00.000,0,4,1
5008,MAD,BCN,2023-04-25T17:30:00.000,2023-04-25T18:50:00.000,0,4,1
3016,MAD,BCN,2023-04-25T14:50:00.000,2023-04-25T16:10:00.000,0,4,1
6889,MAD,BCN,2023-04-25T14:50:00.000,2023-04-25T16:10:00.000,0,4,1
8630,MAD,BCN,2023-04-25T14:50:00.000,2023-04-25T16:10:00.000,0,4,1
5057,MAD,BCN,2023-04-25T14:50:00.000,2023-04-25T16:10:00.000,0,4,1
1522,MAD,BCN,2023-04-25T14:50:00.000,2023-04-25T16:10:00.000,0,4,1
6016,MAD,BCN,2023-04-25T14:50:00.000,2023-04-25T16:10:00.000,0,4,1
3012,MAD,BCN,2023-04-25T11:30:00.000,2023-04-25T12:50:00.000,0,4,1
6089,MAD,BCN,2023-04-25T11:30:00.000,2023-04-25T12:50:00.000,0,4,1
5095,MAD,BCN,2023-04-25T11:30:00.000,2023-04-25T12:50:00.000,0,4,1
5031,MAD,BCN,2023-04-25T11:30:00.000,2023-04-25T12:50:00.000,0,4,1
8613,MAD,BCN,2023-04-25T11:30:00.000,2023-04-25T12:50:00.000,0,4,1
3034,MAD,BCN,2023-04-25T21:35:00.000,2023-04-25T22:55:00.000,0,4,1
5575,MAD,BCN,2023-04-25T21:35:00.000,2023-04-25T22:55:00.000,0,4,1
6927,MAD,BCN,2023-04-25T21:35:00.000,2023-04-25T22:55:00.000,0,4,1
9403,MAD,BCN,2023-04-25T21:35:00.000,2023-04-25T22:55:00.000,0,4,1
5091,MAD,BCN,2023-04-25T21:35:00.000,2023-04-25T22:55:00.000,0,4,1
1530,MAD,BCN,2023-04-25T21:35:00.000,2023-04-25T22:55:00.000,0,4,1
3006,MAD,BCN,2023-04-25T08:00:00.000,2023-04-25T09:20:00.000,0,4,1
8772,MAD,BCN,2023-04-25T08:00:00.000,2023-04-25T09:20:00.000,0,4,1
5023,MAD,BCN,2023-04-25T08:00:00.000,2023-04-25T09:20:00.000,0,4,1
1520,MAD,BCN,2023-04-25T08:00:00.000,2023-04-25T09:20:00.000,0,4,1
1009,MAD,BCN,2023-04-25T22:25:00.000,2023-04-25T23:45:00.000,0,4,1
5007,MAD,BCN,2023-04-25T22:25:00.000,2023-04-25T23:45:00.000,0,4,1
3506,MAD,BCN,2023-04-25T22:25:00.000,2023-04-25T23:45:00.000,0,4,1
3004,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:50:00.000,0,4,1
6028,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:50:00.000,0,4,1
5573,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:50:00.000,0,4,1
8726,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:50:00.000,0,4,1
1519,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:50:00.000,0,4,1
5010,MAD,BCN,2023-04-25T07:30:00.000,2023-04-25T08:50:00.000,0,4,1
3020,MAD,BCN,2023-04-25T16:30:00.000,2023-04-25T17:50:00.000,0,4,1
5332,MAD,BCN,2023-04-25T16:30:00.000,2023-04-25T17:50:00.000,0,4,1
5059,MAD,BCN,2023-04-25T16:30:00.000,2023-04-25T17:50:00.000,0,4,1
1524,MAD,BCN,2023-04-25T16:30:00.000,2023-04-25T17:50:00.000,0,4,1
1007,MAD,BCN,2023-04-25T18:20:00.000,2023-04-25T19:40:00.000,0,4,1
5005,MAD,BCN,2023-04-25T18:20:00.000,2023-04-25T19:40:00.000,0,4,1
3546,MAD,BCN,2023-04-25T18:20:00.000,2023-04-25T19:40:00.000,0,4,1
3026,MAD,BCN,2023-04-25T19:00:00.000,2023-04-25T20:20:00.000,0,4,1
6072,MAD,BCN,2023-04-25T19:00:00.000,2023-04-25T20:20:00.000,0,4,1
6918,MAD,BCN,2023-04-25T19:00:00.000,2023-04-25T20:20:00.000,0,4,1
5010,MAD,BCN,2023-04-25T19:00:00.000,2023-04-25T20:20:00.000,0,4,1
5063,MAD,BCN,2023-04-25T19:00:00.000,2023-04-25T20:20:00.000,0,4,1
1526,MAD,BCN,2023-04-25T19:00:00.000,2023-04-25T20:20:00.000,0,4,1
3014,MAD,BCN,2023-04-25T12:25:00.000,2023-04-25T13:45:00.000,0,4,1
6146,MAD,BCN,2023-04-25T12:25:00.000,2023-04-25T13:45:00.000,0,4,1
5050,MAD,BCN,2023-04-25T12:25:00.000,2023-04-25T13:45:00.000,0,4,1
7703,MAD,BCN,2023-04-25T15:10:00.000,2023-04-25T16:35:00.000,0,2,1
4366,MAD,BCN,2023-04-25T15:10:00.000,2023-04-25T16:35:00.000,0,2,1
6771,MAD,BCN,2023-04-25T15:10:00.000,2023-04-25T16:35:00.000,0,2,1
2703,MAD,BCN,2023-04-25T15:10:00.000,2023-04-25T16:35:00.000,0,2,1
6808,MAD,BCN,2023-04-25T15:10:00.000,2023-04-25T16:35:00.000,0,2,1
9459,MAD,BCN,2023-04-25T15:10:00.000,2023-04-25T16:35:00.000,0,2,1
6653,MAD,BCN,2023-04-25T15:10:00.000,2023-04-25T16:35:00.000,0,2,1
6184,MAD,BCN,2023-04-25T15:10:00.000,2023-04-25T16:35:00.000,0,2,1
3030,MAD,BCN,2023-04-25T20:00:00.000,2023-04-25T21:20:00.000,0,4,1
5338,MAD,BCN,2023-04-25T20:00:00.000,2023-04-25T21:20:00.000,0,4,1
6083,MAD,BCN,2023-04-25T20:00:00.000,2023-04-25T21:20:00.000,0,4,1
6924,MAD,BCN,2023-04-25T20:00:00.000,2023-04-25T21:20:00.000,0,4,1
9402,MAD,BCN,2023-04-25T20:00:00.000,2023-04-25T21:20:00.000,0,4,1
5079,MAD,BCN,2023-04-25T20:00:00.000,2023-04-25T21:20:00.000,0,4,1
1528,MAD,BCN,2023-04-25T20:00:00.000,2023-04-25T21:20:00.000,0,4,1
1003,MAD,BCN,2023-04-25T09:30:00.000,2023-04-25T10:50:00.000,0,4,1
5001,MAD,BCN,2023-04-25T09:30:00.000,2023-04-25T10:50:00.000,0,4,1
3608,MAD,BCN,2023-04-25T09:30:00.000,2023-04-25T10:50:00.000,0,4,1
3008,MAD,BCN,2023-04-25T08:30:00.000,2023-04-25T09:50:00.000,0,4,1
8775,MAD,BCN,2023-04-25T08:30:00.000,2023-04-25T09:50:00.000,0,4,1
5024,MAD,BCN,2023-04-25T08:30:00.000,2023-04-25T09:50:00.000,0,4,1
6082,MAD,BCN,2023-04-25T08:30:00.000,2023-04-25T09:50:00.000,0,4,1
5090,MAD,BCN,2023-04-25T08:30:00.000,2023-04-25T09:50:00.000,0,4,1
1521,MAD,BCN,2023-04-25T08:30:00.000,2023-04-25T09:50:00.000,0,4,1
3006,MAD,BCN,2023-04-26T08:00:00.000,2023-04-26T09:20:00.000,0,4,1
8772,MAD,BCN,2023-04-26T08:00:00.000,2023-04-26T09:20:00.000,0,4,1
1520,MAD,BCN,2023-04-26T08:00:00.000,2023-04-26T09:20:00.000,0,4,1
5023,MAD,BCN,2023-04-26T08:00:00.000,2023-04-26T09:20:00.000,0,4,1
