,flightNumber,departureAirportFsCode,arrivalAirportFsCode,departureTime,arrivalTime,stops,departureTerminal,arrivalTerminal
19,1007,MAD,BCN,2023-04-19T18:25:00.000,2023-04-19T19:45:00.000,0,4.0,1.0
20,3546,MAD,BCN,2023-04-19T18:25:00.000,2023-04-19T19:45:00.000,0,4.0,1.0
21,5005,MAD,BCN,2023-04-19T18:25:00.000,2023-04-19T19:45:00.000,0,4.0,1.0
22,3024,MAD,BCN,2023-04-19T18:00:00.000,2023-04-19T19:20:00.000,0,4.0,1.0
23,5122,MAD,BCN,2023-04-19T18:00:00.000,2023-04-19T19:20:00.000,0,4.0,1.0
24,3016,MAD,BCN,2023-04-19T14:50:00.000,2023-04-19T16:10:00.000,0,4.0,1.0
25,6016,MAD,BCN,2023-04-19T14:50:00.000,2023-04-19T16:10:00.000,0,4.0,1.0
26,6889,MAD,BCN,2023-04-19T14:50:00.000,2023-04-19T16:10:00.000,0,4.0,1.0
27,1522,MAD,BCN,2023-04-19T14:50:00.000,2023-04-19T16:10:00.000,0,4.0,1.0
28,8630,MAD,BCN,2023-04-19T14:50:00.000,2023-04-19T16:10:00.000,0,4.0,1.0
29,5057,MAD,BCN,2023-04-19T14:50:00.000,2023-04-19T16:10:00.000,0,4.0,1.0
30,3006,MAD,BCN,2023-04-19T08:00:00.000,2023-04-19T09:20:00.000,0,4.0,1.0
31,8772,MAD,BCN,2023-04-19T08:00:00.000,2023-04-19T09:20:00.000,0,4.0,1.0
32,5023,MAD,BCN,2023-04-19T08:00:00.000,2023-04-19T09:20:00.000,0,4.0,1.0
33,1520,MAD,BCN,2023-04-19T08:00:00.000,2023-04-19T09:20:00.000,0,4.0,1.0
34,3026,MAD,BCN,2023-04-19T19:00:00.000,2023-04-19T20:20:00.000,0,4.0,1.0
35,6072,MAD,BCN,2023-04-19T19:00:00.000,2023-04-19T20:20:00.000,0,4.0,1.0
36,6918,MAD,BCN,2023-04-19T19:00:00.000,2023-04-19T20:20:00.000,0,4.0,1.0
37,5063,MAD,BCN,2023-04-19T19:00:00.000,2023-04-19T20:20:00.000,0,4.0,1.0
38,1526,MAD,BCN,2023-04-19T19:00:00.000,2023-04-19T20:20:00.000,0,4.0,1.0
39,1003,MAD,BCN,2023-04-19T09:30:00.000,2023-04-19T10:50:00.000,0,4.0,1.0
40,5869,MAD,BCN,2023-04-19T09:30:00.000,2023-04-19T10:50:00.000,0,4.0,1.0
41,5001,MAD,BCN,2023-04-19T09:30:00.000,2023-04-19T10:50:00.000,0,4.0,1.0
42,3608,MAD,BCN,2023-04-19T09:30:00.000,2023-04-19T10:50:00.000,0,4.0,1.0
43,3030,MAD,BCN,2023-04-19T20:00:00.000,2023-04-19T21:20:00.000,0,4.0,1.0
44,6083,MAD,BCN,2023-04-19T20:00:00.000,2023-04-19T21:20:00.000,0,4.0,1.0
45,6924,MAD,BCN,2023-04-19T20:00:00.000,2023-04-19T21:20:00.000,0,4.0,1.0
46,9402,MAD,BCN,2023-04-19T20:00:00.000,2023-04-19T21:20:00.000,0,4.0,1.0
47,5338,MAD,BCN,2023-04-19T20:00:00.000,2023-04-19T21:20:00.000,0,4.0,1.0
48,5079,MAD,BCN,2023-04-19T20:00:00.000,2023-04-19T21:20:00.000,0,4.0,1.0
49,1528,MAD,BCN,2023-04-19T20:00:00.000,2023-04-19T21:20:00.000,0,4.0,1.0
50,3014,MAD,BCN,2023-04-19T12:25:00.000,2023-04-19T13:45:00.000,0,4.0,1.0
51,5050,MAD,BCN,2023-04-19T12:25:00.000,2023-04-19T13:45:00.000,0,4.0,1.0
52,6146,MAD,BCN,2023-04-19T12:25:00.000,2023-04-19T13:45:00.000,0,4.0,1.0
53,1005,MAD,BCN,2023-04-19T13:40:00.000,2023-04-19T15:00:00.000,0,4.0,1.0
54,5003,MAD,BCN,2023-04-19T13:40:00.000,2023-04-19T15:00:00.000,0,4.0,1.0
55,3502,MAD,BCN,2023-04-19T13:40:00.000,2023-04-19T15:00:00.000,0,4.0,1.0
56,3008,MAD,BCN,2023-04-19T08:30:00.000,2023-04-19T09:50:00.000,0,4.0,1.0
57,6082,MAD,BCN,2023-04-19T08:30:00.000,2023-04-19T09:50:00.000,0,4.0,1.0
58,5090,MAD,BCN,2023-04-19T08:30:00.000,2023-04-19T09:50:00.000,0,4.0,1.0
59,8775,MAD,BCN,2023-04-19T08:30:00.000,2023-04-19T09:50:00.000,0,4.0,1.0
60,5024,MAD,BCN,2023-04-19T08:30:00.000,2023-04-19T09:50:00.000,0,4.0,1.0
61,1521,MAD,BCN,2023-04-19T08:30:00.000,2023-04-19T09:50:00.000,0,4.0,1.0
62,7703,MAD,BCN,2023-04-19T15:10:00.000,2023-04-19T16:35:00.000,0,2.0,1.0
63,9459,MAD,BCN,2023-04-19T15:10:00.000,2023-04-19T16:35:00.000,0,2.0,1.0
64,6184,MAD,BCN,2023-04-19T15:10:00.000,2023-04-19T16:35:00.000,0,2.0,1.0
65,6808,MAD,BCN,2023-04-19T15:10:00.000,2023-04-19T16:35:00.000,0,2.0,1.0
66,4366,MAD,BCN,2023-04-19T15:10:00.000,2023-04-19T16:35:00.000,0,2.0,1.0
67,6771,MAD,BCN,2023-04-19T15:10:00.000,2023-04-19T16:35:00.000,0,2.0,1.0
68,2703,MAD,BCN,2023-04-19T15:10:00.000,2023-04-19T16:35:00.000,0,2.0,1.0
69,6653,MAD,BCN,2023-04-19T15:10:00.000,2023-04-19T16:35:00.000,0,2.0,1.0
70,6082,MAD,BCN,2023-04-19T15:10:00.000,2023-04-19T16:35:00.000,0,2.0,1.0
71,3020,MAD,BCN,2023-04-19T16:30:00.000,2023-04-19T17:50:00.000,0,4.0,1.0
72,5332,MAD,BCN,2023-04-19T16:30:00.000,2023-04-19T17:50:00.000,0,4.0,1.0
73,5059,MAD,BCN,2023-04-19T16:30:00.000,2023-04-19T17:50:00.000,0,4.0,1.0
74,1524,MAD,BCN,2023-04-19T16:30:00.000,2023-04-19T17:50:00.000,0,4.0,1.0
75,3002,MAD,BCN,2023-04-19T07:00:00.000,2023-04-19T08:20:00.000,0,4.0,1.0
76,6029,MAD,BCN,2023-04-19T07:00:00.000,2023-04-19T08:20:00.000,0,4.0,1.0
77,5571,MAD,BCN,2023-04-19T07:00:00.000,2023-04-19T08:20:00.000,0,4.0,1.0
78,1518,MAD,BCN,2023-04-19T07:00:00.000,2023-04-19T08:20:00.000,0,4.0,1.0
79,5006,MAD,BCN,2023-04-19T07:00:00.000,2023-04-19T08:20:00.000,0,4.0,1.0
80,6002,MAD,BCN,2023-04-19T07:00:00.000,2023-04-19T08:20:00.000,0,4.0,1.0
81,3022,MAD,BCN,2023-04-19T17:30:00.000,2023-04-19T18:50:00.000,0,4.0,1.0
82,6018,MAD,BCN,2023-04-19T17:30:00.000,2023-04-19T18:50:00.000,0,4.0,1.0
83,6895,MAD,BCN,2023-04-19T17:30:00.000,2023-04-19T18:50:00.000,0,4.0,1.0
84,5061,MAD,BCN,2023-04-19T17:30:00.000,2023-04-19T18:50:00.000,0,4.0,1.0
85,1525,MAD,BCN,2023-04-19T17:30:00.000,2023-04-19T18:50:00.000,0,4.0,1.0
86,5008,MAD,BCN,2023-04-19T17:30:00.000,2023-04-19T18:50:00.000,0,4.0,1.0
87,1009,MAD,BCN,2023-04-19T22:35:00.000,2023-04-19T23:55:00.000,0,4.0,1.0
88,5007,MAD,BCN,2023-04-19T22:35:00.000,2023-04-19T23:55:00.000,0,4.0,1.0
89,3506,MAD,BCN,2023-04-19T22:35:00.000,2023-04-19T23:55:00.000,0,4.0,1.0
90,3034,MAD,BCN,2023-04-19T21:35:00.000,2023-04-19T22:55:00.000,0,4.0,1.0
91,5575,MAD,BCN,2023-04-19T21:35:00.000,2023-04-19T22:55:00.000,0,4.0,1.0
92,6927,MAD,BCN,2023-04-19T21:35:00.000,2023-04-19T22:55:00.000,0,4.0,1.0
93,9403,MAD,BCN,2023-04-19T21:35:00.000,2023-04-19T22:55:00.000,0,4.0,1.0
94,5091,MAD,BCN,2023-04-19T21:35:00.000,2023-04-19T22:55:00.000,0,4.0,1.0
95,1530,MAD,BCN,2023-04-19T21:35:00.000,2023-04-19T22:55:00.000,0,4.0,1.0
96,3012,MAD,BCN,2023-04-19T11:30:00.000,2023-04-19T12:50:00.000,0,4.0,1.0
97,6089,MAD,BCN,2023-04-19T11:30:00.000,2023-04-19T12:50:00.000,0,4.0,1.0
98,5095,MAD,BCN,2023-04-19T11:30:00.000,2023-04-19T12:50:00.000,0,4.0,1.0
99,5031,MAD,BCN,2023-04-19T11:30:00.000,2023-04-19T12:50:00.000,0,4.0,1.0
100,8613,MAD,BCN,2023-04-19T11:30:00.000,2023-04-19T12:50:00.000,0,4.0,1.0
101,3010,MAD,BCN,2023-04-19T10:35:00.000,2023-04-19T11:55:00.000,0,4.0,1.0
102,8781,MAD,BCN,2023-04-19T10:35:00.000,2023-04-19T11:55:00.000,0,4.0,1.0
103,5116,MAD,BCN,2023-04-19T10:35:00.000,2023-04-19T11:55:00.000,0,4.0,1.0
104,1624,MAD,BCN,2023-04-19T10:35:00.000,2023-04-19T11:55:00.000,0,4.0,1.0
105,6078,MAD,BCN,2023-04-19T10:35:00.000,2023-04-19T11:55:00.000,0,4.0,1.0
106,7246,MAD,BCN,2023-04-19T10:35:00.000,2023-04-19T11:55:00.000,0,4.0,1.0
107,3004,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:50:00.000,0,4.0,1.0
108,6028,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:50:00.000,0,4.0,1.0
109,5573,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:50:00.000,0,4.0,1.0
110,5010,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:50:00.000,0,4.0,1.0
111,1519,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:50:00.000,0,4.0,1.0
112,8726,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:50:00.000,0,4.0,1.0
113,3006,MAD,BCN,2023-04-20T08:00:00.000,2023-04-20T09:20:00.000,0,4.0,1.0
114,5089,MAD,BCN,2023-04-20T08:00:00.000,2023-04-20T09:20:00.000,0,4.0,1.0
115,8772,MAD,BCN,2023-04-20T08:00:00.000,2023-04-20T09:20:00.000,0,4.0,1.0
116,5023,MAD,BCN,2023-04-20T08:00:00.000,2023-04-20T09:20:00.000,0,4.0,1.0
117,1520,MAD,BCN,2023-04-20T08:00:00.000,2023-04-20T09:20:00.000,0,4.0,1.0
118,3018,MAD,BCN,2023-04-20T16:00:00.000,2023-04-20T17:20:00.000,0,4.0,1.0
119,6076,MAD,BCN,2023-04-20T16:00:00.000,2023-04-20T17:20:00.000,0,4.0,1.0
120,6894,MAD,BCN,2023-04-20T16:00:00.000,2023-04-20T17:20:00.000,0,4.0,1.0
121,5331,MAD,BCN,2023-04-20T16:00:00.000,2023-04-20T17:20:00.000,0,4.0,1.0
122,8782,MAD,BCN,2023-04-20T16:00:00.000,2023-04-20T17:20:00.000,0,4.0,1.0
123,5058,MAD,BCN,2023-04-20T16:00:00.000,2023-04-20T17:20:00.000,0,4.0,1.0
124,5004,MAD,BCN,2023-04-20T16:00:00.000,2023-04-20T17:20:00.000,0,4.0,1.0
125,1523,MAD,BCN,2023-04-20T16:00:00.000,2023-04-20T17:20:00.000,0,4.0,1.0
126,3016,MAD,BCN,2023-04-20T14:50:00.000,2023-04-20T16:10:00.000,0,4.0,1.0
127,6016,MAD,BCN,2023-04-20T14:50:00.000,2023-04-20T16:10:00.000,0,4.0,1.0
128,6889,MAD,BCN,2023-04-20T14:50:00.000,2023-04-20T16:10:00.000,0,4.0,1.0
129,1522,MAD,BCN,2023-04-20T14:50:00.000,2023-04-20T16:10:00.000,0,4.0,1.0
130,8630,MAD,BCN,2023-04-20T14:50:00.000,2023-04-20T16:10:00.000,0,4.0,1.0
131,5057,MAD,BCN,2023-04-20T14:50:00.000,2023-04-20T16:10:00.000,0,4.0,1.0
132,3026,MAD,BCN,2023-04-20T19:00:00.000,2023-04-20T20:20:00.000,0,4.0,1.0
133,6072,MAD,BCN,2023-04-20T19:00:00.000,2023-04-20T20:20:00.000,0,4.0,1.0
134,6918,MAD,BCN,2023-04-20T19:00:00.000,2023-04-20T20:20:00.000,0,4.0,1.0
135,5063,MAD,BCN,2023-04-20T19:00:00.000,2023-04-20T20:20:00.000,0,4.0,1.0
136,1526,MAD,BCN,2023-04-20T19:00:00.000,2023-04-20T20:20:00.000,0,4.0,1.0
137,1003,MAD,BCN,2023-04-20T09:30:00.000,2023-04-20T10:50:00.000,0,4.0,1.0
138,5869,MAD,BCN,2023-04-20T09:30:00.000,2023-04-20T10:50:00.000,0,4.0,1.0
139,5001,MAD,BCN,2023-04-20T09:30:00.000,2023-04-20T10:50:00.000,0,4.0,1.0
140,3608,MAD,BCN,2023-04-20T09:30:00.000,2023-04-20T10:50:00.000,0,4.0,1.0
141,7703,MAD,BCN,2023-04-20T15:10:00.000,2023-04-20T16:35:00.000,0,2.0,1.0
142,9459,MAD,BCN,2023-04-20T15:10:00.000,2023-04-20T16:35:00.000,0,2.0,1.0
143,6184,MAD,BCN,2023-04-20T15:10:00.000,2023-04-20T16:35:00.000,0,2.0,1.0
144,4366,MAD,BCN,2023-04-20T15:10:00.000,2023-04-20T16:35:00.000,0,2.0,1.0
145,6808,MAD,BCN,2023-04-20T15:10:00.000,2023-04-20T16:35:00.000,0,2.0,1.0
146,6771,MAD,BCN,2023-04-20T15:10:00.000,2023-04-20T16:35:00.000,0,2.0,1.0
147,2703,MAD,BCN,2023-04-20T15:10:00.000,2023-04-20T16:35:00.000,0,2.0,1.0
148,6653,MAD,BCN,2023-04-20T15:10:00.000,2023-04-20T16:35:00.000,0,2.0,1.0
149,3002,MAD,BCN,2023-04-20T07:00:00.000,2023-04-20T08:20:00.000,0,4.0,1.0
150,6029,MAD,BCN,2023-04-20T07:00:00.000,2023-04-20T08:20:00.000,0,4.0,1.0
151,5571,MAD,BCN,2023-04-20T07:00:00.000,2023-04-20T08:20:00.000,0,4.0,1.0
152,1518,MAD,BCN,2023-04-20T07:00:00.000,2023-04-20T08:20:00.000,0,4.0,1.0
153,5006,MAD,BCN,2023-04-20T07:00:00.000,2023-04-20T08:20:00.000,0,4.0,1.0
154,3030,MAD,BCN,2023-04-20T20:00:00.000,2023-04-20T21:20:00.000,0,4.0,1.0
155,6083,MAD,BCN,2023-04-20T20:00:00.000,2023-04-20T21:20:00.000,0,4.0,1.0
156,6924,MAD,BCN,2023-04-20T20:00:00.000,2023-04-20T21:20:00.000,0,4.0,1.0
157,9402,MAD,BCN,2023-04-20T20:00:00.000,2023-04-20T21:20:00.000,0,4.0,1.0
158,5338,MAD,BCN,2023-04-20T20:00:00.000,2023-04-20T21:20:00.000,0,4.0,1.0
159,5079,MAD,BCN,2023-04-20T20:00:00.000,2023-04-20T21:20:00.000,0,4.0,1.0
160,1528,MAD,BCN,2023-04-20T20:00:00.000,2023-04-20T21:20:00.000,0,4.0,1.0
161,3020,MAD,BCN,2023-04-20T16:30:00.000,2023-04-20T17:50:00.000,0,4.0,1.0
162,5332,MAD,BCN,2023-04-20T16:30:00.000,2023-04-20T17:50:00.000,0,4.0,1.0
163,5059,MAD,BCN,2023-04-20T16:30:00.000,2023-04-20T17:50:00.000,0,4.0,1.0
164,1524,MAD,BCN,2023-04-20T16:30:00.000,2023-04-20T17:50:00.000,0,4.0,1.0
165,3022,MAD,BCN,2023-04-20T17:30:00.000,2023-04-20T18:50:00.000,0,4.0,1.0
166,6018,MAD,BCN,2023-04-20T17:30:00.000,2023-04-20T18:50:00.000,0,4.0,1.0
167,6895,MAD,BCN,2023-04-20T17:30:00.000,2023-04-20T18:50:00.000,0,4.0,1.0
168,5061,MAD,BCN,2023-04-20T17:30:00.000,2023-04-20T18:50:00.000,0,4.0,1.0
169,1525,MAD,BCN,2023-04-20T17:30:00.000,2023-04-20T18:50:00.000,0,4.0,1.0
170,5008,MAD,BCN,2023-04-20T17:30:00.000,2023-04-20T18:50:00.000,0,4.0,1.0
171,3012,MAD,BCN,2023-04-20T11:30:00.000,2023-04-20T12:50:00.000,0,4.0,1.0
172,6089,MAD,BCN,2023-04-20T11:30:00.000,2023-04-20T12:50:00.000,0,4.0,1.0
173,5095,MAD,BCN,2023-04-20T11:30:00.000,2023-04-20T12:50:00.000,0,4.0,1.0
174,1839,MAD,BCN,2023-04-20T11:30:00.000,2023-04-20T12:50:00.000,0,4.0,1.0
175,5031,MAD,BCN,2023-04-20T11:30:00.000,2023-04-20T12:50:00.000,0,4.0,1.0
176,8613,MAD,BCN,2023-04-20T11:30:00.000,2023-04-20T12:50:00.000,0,4.0,1.0
177,1005,MAD,BCN,2023-04-20T13:40:00.000,2023-04-20T15:00:00.000,0,4.0,1.0
178,5003,MAD,BCN,2023-04-20T13:40:00.000,2023-04-20T15:00:00.000,0,4.0,1.0
179,3502,MAD,BCN,2023-04-20T13:40:00.000,2023-04-20T15:00:00.000,0,4.0,1.0
180,1009,MAD,BCN,2023-04-20T22:35:00.000,2023-04-20T23:55:00.000,0,4.0,1.0
181,5007,MAD,BCN,2023-04-20T22:35:00.000,2023-04-20T23:55:00.000,0,4.0,1.0
182,3506,MAD,BCN,2023-04-20T22:35:00.000,2023-04-20T23:55:00.000,0,4.0,1.0
183,3034,MAD,BCN,2023-04-20T21:35:00.000,2023-04-20T22:55:00.000,0,4.0,1.0
184,5575,MAD,BCN,2023-04-20T21:35:00.000,2023-04-20T22:55:00.000,0,4.0,1.0
185,6927,MAD,BCN,2023-04-20T21:35:00.000,2023-04-20T22:55:00.000,0,4.0,1.0
186,9403,MAD,BCN,2023-04-20T21:35:00.000,2023-04-20T22:55:00.000,0,4.0,1.0
187,5091,MAD,BCN,2023-04-20T21:35:00.000,2023-04-20T22:55:00.000,0,4.0,1.0
188,1530,MAD,BCN,2023-04-20T21:35:00.000,2023-04-20T22:55:00.000,0,4.0,1.0
189,7701,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:55:00.000,0,2.0,1.0
190,4302,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:55:00.000,0,2.0,1.0
191,6896,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:55:00.000,0,2.0,1.0
192,7444,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:55:00.000,0,2.0,1.0
193,6651,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:55:00.000,0,2.0,1.0
194,6768,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:55:00.000,0,2.0,1.0
195,7322,MAD,BCN,2023-04-20T07:30:00.000,2023-04-20T08:55:00.000,0,2.0,1.0
196,1007,MAD,BCN,2023-04-20T18:30:00.000,2023-04-20T19:50:00.000,0,4.0,1.0
197,5005,MAD,BCN,2023-04-20T18:30:00.000,2023-04-20T19:50:00.000,0,4.0,1.0
198,3546,MAD,BCN,2023-04-20T18:30:00.000,2023-04-20T19:50:00.000,0,4.0,1.0
199,3024,MAD,BCN,2023-04-20T18:00:00.000,2023-04-20T19:20:00.000,0,4.0,1.0
200,5122,MAD,BCN,2023-04-20T18:00:00.000,2023-04-20T19:20:00.000,0,4.0,1.0
201,3014,MAD,BCN,2023-04-20T12:25:00.000,2023-04-20T13:45:00.000,0,4.0,1.0
202,6146,MAD,BCN,2023-04-20T12:25:00.000,2023-04-20T13:45:00.000,0,4.0,1.0
203,5050,MAD,BCN,2023-04-20T12:25:00.000,2023-04-20T13:45:00.000,0,4.0,1.0
204,1841,MAD,BCN,2023-04-20T12:25:00.000,2023-04-20T13:45:00.000,0,4.0,1.0
205,3008,MAD,BCN,2023-04-20T08:30:00.000,2023-04-20T09:50:00.000,0,4.0,1.0
206,6082,MAD,BCN,2023-04-20T08:30:00.000,2023-04-20T09:50:00.000,0,4.0,1.0
207,5090,MAD,BCN,2023-04-20T08:30:00.000,2023-04-20T09:50:00.000,0,4.0,1.0
208,8775,MAD,BCN,2023-04-20T08:30:00.000,2023-04-20T09:50:00.000,0,4.0,1.0
209,5024,MAD,BCN,2023-04-20T08:30:00.000,2023-04-20T09:50:00.000,0,4.0,1.0
210,1521,MAD,BCN,2023-04-20T08:30:00.000,2023-04-20T09:50:00.000,0,4.0,1.0
211,3004,MAD,BCN,2023-04-21T07:30:00.000,2023-04-21T08:50:00.000,0,4.0,1.0
212,6028,MAD,BCN,2023-04-21T07:30:00.000,2023-04-21T08:50:00.000,0,4.0,1.0
213,5573,MAD,BCN,2023-04-21T07:30:00.000,2023-04-21T08:50:00.000,0,4.0,1.0
214,5010,MAD,BCN,2023-04-21T07:30:00.000,2023-04-21T08:50:00.000,0,4.0,1.0
215,1519,MAD,BCN,2023-04-21T07:30:00.000,2023-04-21T08:50:00.000,0,4.0,1.0
216,8726,MAD,BCN,2023-04-21T07:30:00.000,2023-04-21T08:50:00.000,0,4.0,1.0
217,3022,MAD,BCN,2023-04-21T17:30:00.000,2023-04-21T18:50:00.000,0,4.0,1.0
218,6018,MAD,BCN,2023-04-21T17:30:00.000,2023-04-21T18:50:00.000,0,4.0,1.0
219,6895,MAD,BCN,2023-04-21T17:30:00.000,2023-04-21T18:50:00.000,0,4.0,1.0
220,5061,MAD,BCN,2023-04-21T17:30:00.000,2023-04-21T18:50:00.000,0,4.0,1.0
221,1525,MAD,BCN,2023-04-21T17:30:00.000,2023-04-21T18:50:00.000,0,4.0,1.0
222,5008,MAD,BCN,2023-04-21T17:30:00.000,2023-04-21T18:50:00.000,0,4.0,1.0
223,3012,MAD,BCN,2023-04-21T11:30:00.000,2023-04-21T12:50:00.000,0,4.0,1.0
224,6089,MAD,BCN,2023-04-21T11:30:00.000,2023-04-21T12:50:00.000,0,4.0,1.0
225,5095,MAD,BCN,2023-04-21T11:30:00.000,2023-04-21T12:50:00.000,0,4.0,1.0
226,5031,MAD,BCN,2023-04-21T11:30:00.000,2023-04-21T12:50:00.000,0,4.0,1.0
227,8613,MAD,BCN,2023-04-21T11:30:00.000,2023-04-21T12:50:00.000,0,4.0,1.0
228,1005,MAD,BCN,2023-04-21T13:40:00.000,2023-04-21T15:00:00.000,0,4.0,1.0
229,5003,MAD,BCN,2023-04-21T13:40:00.000,2023-04-21T15:00:00.000,0,4.0,1.0
230,3502,MAD,BCN,2023-04-21T13:40:00.000,2023-04-21T15:00:00.000,0,4.0,1.0
231,3026,MAD,BCN,2023-04-21T19:00:00.000,2023-04-21T20:20:00.000,0,4.0,1.0
232,5010,MAD,BCN,2023-04-21T19:00:00.000,2023-04-21T20:20:00.000,0,4.0,1.0
233,5063,MAD,BCN,2023-04-21T19:00:00.000,2023-04-21T20:20:00.000,0,4.0,1.0
234,6918,MAD,BCN,2023-04-21T19:00:00.000,2023-04-21T20:20:00.000,0,4.0,1.0
235,1526,MAD,BCN,2023-04-21T19:00:00.000,2023-04-21T20:20:00.000,0,4.0,1.0
236,6072,MAD,BCN,2023-04-21T19:00:00.000,2023-04-21T20:20:00.000,0,4.0,1.0
237,3018,MAD,BCN,2023-04-21T16:00:00.000,2023-04-21T17:20:00.000,0,4.0,1.0
238,8782,MAD,BCN,2023-04-21T16:00:00.000,2023-04-21T17:20:00.000,0,4.0,1.0
239,5058,MAD,BCN,2023-04-21T16:00:00.000,2023-04-21T17:20:00.000,0,4.0,1.0
240,5004,MAD,BCN,2023-04-21T16:00:00.000,2023-04-21T17:20:00.000,0,4.0,1.0
241,1523,MAD,BCN,2023-04-21T16:00:00.000,2023-04-21T17:20:00.000,0,4.0,1.0
242,5331,MAD,BCN,2023-04-21T16:00:00.000,2023-04-21T17:20:00.000,0,4.0,1.0
243,6076,MAD,BCN,2023-04-21T16:00:00.000,2023-04-21T17:20:00.000,0,4.0,1.0
244,6894,MAD,BCN,2023-04-21T16:00:00.000,2023-04-21T17:20:00.000,0,4.0,1.0
245,3020,MAD,BCN,2023-04-21T16:30:00.000,2023-04-21T17:50:00.000,0,4.0,1.0
246,5332,MAD,BCN,2023-04-21T16:30:00.000,2023-04-21T17:50:00.000,0,4.0,1.0
247,5059,MAD,BCN,2023-04-21T16:30:00.000,2023-04-21T17:50:00.000,0,4.0,1.0
248,1524,MAD,BCN,2023-04-21T16:30:00.000,2023-04-21T17:50:00.000,0,4.0,1.0
249,3016,MAD,BCN,2023-04-21T14:50:00.000,2023-04-21T16:10:00.000,0,4.0,1.0
250,6016,MAD,BCN,2023-04-21T14:50:00.000,2023-04-21T16:10:00.000,0,4.0,1.0
251,6889,MAD,BCN,2023-04-21T14:50:00.000,2023-04-21T16:10:00.000,0,4.0,1.0
252,1522,MAD,BCN,2023-04-21T14:50:00.000,2023-04-21T16:10:00.000,0,4.0,1.0
253,8630,MAD,BCN,2023-04-21T14:50:00.000,2023-04-21T16:10:00.000,0,4.0,1.0
254,5057,MAD,BCN,2023-04-21T14:50:00.000,2023-04-21T16:10:00.000,0,4.0,1.0
255,3006,MAD,BCN,2023-04-21T08:00:00.000,2023-04-21T09:20:00.000,0,4.0,1.0
256,5089,MAD,BCN,2023-04-21T08:00:00.000,2023-04-21T09:20:00.000,0,4.0,1.0
257,8772,MAD,BCN,2023-04-21T08:00:00.000,2023-04-21T09:20:00.000,0,4.0,1.0
258,5023,MAD,BCN,2023-04-21T08:00:00.000,2023-04-21T09:20:00.000,0,4.0,1.0
259,1520,MAD,BCN,2023-04-21T08:00:00.000,2023-04-21T09:20:00.000,0,4.0,1.0
260,7701,MAD,BCN,2023-04-21T07:30:00.000,2023-04-21T08:55:00.000,0,2.0,1.0
